name,website,founded,industry,size_range,locality,country,linkedin_url,current employee estimate,total employee estimate,lead_score,insights
pwc,pwc.com,1998,accounting,10001+,"new york, new york, united states",united states,linkedin.com/company/pwc,111372,379447,100.0,"pwc is a major accounting firm based in New York with over 100,000 employees, indicating significant scale and potential for enterprise SaaS adoption. The perfect lead score of 100.0 is justified by its large size, established presence since 1998, and alignment with the SaaS sales team's B2B priorities. All key data fields are present and consistent."
google,google.com,1998,internet,10001+,"mountain view, california, united states",united states,linkedin.com/company/google,75109,131349,100.0,"Google is a major internet company founded in 1998, headquartered in Mountain View, California, with a workforce exceeding 130,000 employees. Its extensive size, long-standing presence, and industry dominance justify the maximum lead score of 100.0."
amazon,amazon.com,1994,internet,10001+,"seattle, washington, united states",united states,linkedin.com/company/amazon,93247,161866,96.39,"Amazon is a major internet company founded in 1994, headquartered in Seattle, with an extensive workforce exceeding 160,000 employees. The very high lead score of 96.39 reflects its massive scale, established market presence, and significant potential as a SaaS customer. All key data fields are complete, supporting the strong qualification."
cognizant technology solutions,cognizant.com,1994,information technology and services,10001+,"teaneck, new jersey, united states",united states,linkedin.com/company/cognizant,122031,210020,96.39,"Cognizant Technology Solutions is a major information technology and services company founded in 1994, headquartered in Teaneck, New Jersey, with an estimated workforce exceeding 120,000 employees. The exceptionally high lead score of 96.39 reflects its significant size, established presence in the industry, and likely strong potential as a B2B SaaS customer."
ey,ey.com,1989,accounting,10001+,"london, greater london, united kingdom",united kingdom,linkedin.com/company/ernstandyoung,158363,428960,91.97,"ey is a major accounting firm based in London with over 100,000 employees, founded in 1989. The exceptionally high lead score of 91.97 reflects its significant size, long-standing presence, and strong industry positioning. Some employee count estimates vary, but both indicate a very large organization, supporting its priority as a lead."
accenture,accenture.com,1989,information technology and services,10001+,"dublin, dublin, ireland",ireland,linkedin.com/company/accenture,190689,455768,91.97,"Accenture is a major information technology and services company founded in 1989 and headquartered in Dublin, Ireland, with an extensive workforce ranging from 190,689 to 455,768 employees. The high lead score of 91.97 reflects its significant size, established market presence, and strong fit as a potential SaaS client. The wide range in employee estimates should be noted, but overall the company's scale and industry make it a top-tier lead."
vodafone,vodafone.com,1982,telecommunications,10001+,"berks, west berkshire, united kingdom",united kingdom,linkedin.com/company/vodafone,66632,174892,85.93,"Vodafone is a major telecommunications company founded in 1982 and headquartered in West Berkshire, United Kingdom, with an estimated workforce exceeding 66,000 employees. The high lead score of 85.93 reflects its significant size, established market presence, and relevance within the telecommunications sector. Note: There is a notable discrepancy between the estimated employee count and the total employee estimate, which may indicate data inconsistency."
infosys,infosys.com,1981,information technology and services,10001+,"bangalore, karnataka, india",india,linkedin.com/company/infosys,104752,215718,85.08,"Infosys is a major information technology and services company founded in 1981, headquartered in Bangalore, India, with an extensive workforce exceeding 100,000 employees. The high lead score of 85.08 reflects its significant size, long-standing industry presence, and potential as a strategic enterprise client. The data is comprehensive and consistent, supporting the strong lead qualification."
oracle,oracle.com,1977,information technology and services,10001+,"redwood shores, california, united states",united states,linkedin.com/company/oracle,85090,206211,81.72,"Oracle is a well-established information technology and services company founded in 1977, headquartered in Redwood Shores, California, with a substantial workforce (employee estimates range from 85,090 to 206,211). The high lead score of 81.72 reflects its significant size, long-standing industry presence, and potential as a major SaaS client. The notable discrepancy in employee estimates should be considered in further qualification."
apple,apple.com,1976,consumer electronics,10001+,"cupertino, california, united states",united states,linkedin.com/company/apple,90095,179531,80.9,"Apple is a major consumer electronics company founded in 1976, headquartered in Cupertino, California, with an employee base exceeding 90,000 and a total estimate of over 179,000. The high lead score of 80.9 reflects its significant size and established presence in the industry, making it a strong prospect for B2B SaaS opportunities."
