name,website,industry,founded,size_range,linkedin_url
fj solutions,fjsolutions.com,marketing and advertising,2004.0,11 - 50,linkedin.com/company/fj-solutions_7
silverman genealogy services,silvermangenealogy.com,consumer services,2015.0,1 - 10,linkedin.com/company/silverman-genealogy-services
incentive media,incentive.media,marketing and advertising,,1 - 10,linkedin.com/company/incentivemedia
destinations athlone,destinations-athlone.ie,real estate,2005.0,1 - 10,linkedin.com/company/destinations-athlone
integrity staffing services,integritystaffing.net,retail,,1 - 10,linkedin.com/company/integrity-staffing-service
jishunxin fashion,jishunxin.com,apparel & fashion,2011.0,1 - 10,linkedin.com/company/jishunxin-fashion
give life (dăruiește viață),daruiesteviata.ro,non-profit organization management,2012.0,11 - 50,linkedin.com/company/daruieste-viata-give-life-association-
3d construction,3ddesign.co.uk,design,,1 - 10,linkedin.com/company/3d-design-and-construction-limited
fendorse,fendorse.com,marketing and advertising,2017.0,11 - 50,linkedin.com/company/fendorse
capella pr,capellapr.com,public relations and communications,2012.0,11 - 50,linkedin.com/company/capella-pr
for our daughters,forourdaughters.co.uk,civic & social organization,,1 - 10,linkedin.com/company/for-our-daughters
airco-fin group,aircofin.com,mechanical or industrial engineering,1979.0,1 - 10,linkedin.com/company/airco-fin-group
dry media italia,drymedia.it,media production,2016.0,51 - 200,linkedin.com/company/dry-media-italia
madlen.co.uk,madlen.co.uk,translation and localization,,1 - 10,linkedin.com/company/madlen.co.uk
pan-terra corporation srl,panterra.ro,management consulting,1990.0,1 - 10,linkedin.com/company/pan-terra-corporation
itr acoustique,itracoustique.com,construction,1983.0,11 - 50,linkedin.com/company/itr-acoustique
mipsan makine lt. sti.,mipsanmakine.com.tr,machinery,,1 - 10,linkedin.com/company/mipsan-makine-lt.-sti.
rederij de jong b.v.,rederijdejong.nl,maritime,1938.0,11 - 50,linkedin.com/company/rederijdejong
gulf development & construction (inma)l.l.c,alfuttaim.ae,automotive,,11 - 50,linkedin.com/company/gulf-development-&-construction-inma-l-l-c
utilatas limited,utilatas.com,environmental services,2009.0,1 - 10,linkedin.com/company/utilatas-limited
contract interiors inc,windowsart.com,construction,,11 - 50,linkedin.com/company/contract-interiors-inc
playground dimension,pldm.co.uk,online media,,1 - 10,linkedin.com/company/playground-dimension
deadpoint digital,deadpointdigital.com,internet,2010.0,1 - 10,linkedin.com/company/deadpoint-digital
asquare business solutions,asquaresolutions.it,marketing and advertising,2015.0,1 - 10,linkedin.com/company/asquarebusinesssolutions
